Course,UCAS,25 Above,Disability,Ethnicity,Gender,British,English native Language,Parent He attendance,Polar 4 Score,SLC,Care Leaver,Student Visa,Refugee,London Permanent Residence,UCAS Points,English,Maths,A Levels,Btec,Previous work,Bursary,Attendance,AWM year 1,AWM year 2,AWM year 3,Overall AWM,Progress,First Sit,Second Sit,Fails,No Submissions,Late Submission,Pass,Re Takes,desertion
BA Business Manangement Enterpreneurship and Innovation,no,no,no,Asian,Male,no,no,yes,4.0,no,no,yes,no,yes,98.0,5.0,4.0,yes,no,yes,no,86,85,58.0,43.0,62.0,yes,3,3.0,0,2,2,100.0,yes,no
BA Business Management,no,no,no,White,Male,no,no,yes,2.0,yes,no,no,no,no,101.0,5.0,5.0,yes,no,yes,yes,55,40,32.0,,36.0,no,1,2.0,5,3,0,83.33333333333333,no,yes
BA Business Management Enterpreneurship and Innovation,no,no,no,Asian,Male,yes,yes,yes,4.0,yes,no,no,no,yes,129.0,4.0,4.0,yes,no,yes,no,57,41,,,41.0,yes,6,0.0,0,0,0,100.0,no,yes
BA Business Management,no,yes,no,White,Female,no,no,no,3.0,yes,no,no,no,yes,110.0,9.0,8.0,yes,no,yes,no,48,41,43.0,,42.0,yes,6,0.0,0,0,0,100.0,no,yes
BA Business Management Enterpreneurship and Innovation,no,no,no,Asian,Male,yes,yes,yes,4.0,yes,no,no,no,yes,130.0,6.0,5.0,yes,no,yes,no,83,55,49.0,59.0,54.333333333333336,yes,4,2.0,0,2,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Asian,Male,yes,yes,yes,3.0,yes,no,no,no,yes,112.0,6.0,4.0,no,yes,no,no,71,46,46.0,43.0,45.0,yes,3,3.0,0,0,1,100.0,no,no
BA Business Management Marketing,yes,no,no,White,Male,no,yes,no,5.0,no,no,yes,no,no,89.0,6.0,5.0,yes,no,no,no,96,78,70.0,79.0,75.66666666666667,yes,4,2.0,0,0,2,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,yes,yes,no,4.0,yes,no,no,no,yes,103.0,4.0,5.0,yes,no,no,no,67,43,85.0,61.0,63.0,yes,3,3.0,0,3,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,yes,yes,no,2.0,no,no,no,no,yes,128.0,4.0,4.0,no,yes,no,yes,89,76,58.0,44.0,59.333333333333336,yes,6,0.0,0,0,0,100.0,no,no
BA Business Management,yes,no,no,White,Female,yes,yes,no,,no,no,no,no,no,91.0,4.0,4.0,no,no,no,no,92,49,83.0,67.0,66.33333333333333,yes,6,0.0,0,1,1,100.0,no,no
Ba Business Management Finance,yes,no,no,White,Female,yes,yes,yes,4.0,no,no,no,no,yes,128.0,4.0,5.0,no,yes,no,no,79,79,56.0,76.0,70.33333333333333,yes,5,1.0,0,2,1,100.0,no,no
BA Business Management,yes,yes,no,Black/Black British African,Female,yes,yes,yes,5.0,yes,no,no,no,no,82.0,3.0,3.0,no,yes,no,no,55,38,,,38.0,no,3,1.0,1,1,2,16.666666666666668,no,yes
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,yes,yes,no,4.0,yes,no,no,no,yes,84.0,4.0,4.0,yes,no,no,no,84,44,59.0,76.0,59.666666666666664,yes,4,2.0,0,2,0,100.0,no,no
BA Business Management Marketing,yes,no,no,White,Female,yes,yes,yes,,no,no,no,no,no,127.0,,5.0,no,no,no,no,64,58,50.0,63.0,57.0,yes,5,1.0,0,1,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,no,yes,yes,,no,no,yes,no,no,120.0,4.0,4.0,yes,no,no,no,89,52,48.0,31.0,43.666666666666664,no,4,2.0,3,0,1,50.0,no,no
BA Business Management International Business,yes,no,no,White,Female,yes,yes,yes,4.0,yes,no,no,no,no,96.0,4.0,5.0,no,yes,no,no,47,32,,,32.0,no,3,0.0,3,0,1,50.0,no,yes
Ba Business Management Finance,yes,yes,no,White,Male,yes,yes,yes,1.0,yes,no,no,no,no,82.0,,,no,no,yes,no,97,46,55.0,66.0,55.666666666666664,yes,4,2.0,0,0,2,100.0,no,no
BA Business Management,yes,no,no,White,Male,yes,yes,no,2.0,yes,no,no,no,no,117.0,,,no,yes,yes,yes,99,68,63.0,82.0,71.0,yes,3,3.0,0,0,1,100.0,no,no
BA Business Management,yes,no,no,Asian,Female,yes,yes,no,3.0,no,no,no,no,no,153.0,9.0,8.0,no,no,yes,no,57,49,38.0,,43.5,no,3,3.0,2,0,0,33.333333333333336,no,yes
BA Business Management International Business,yes,no,no,Asian,Male,no,yes,no,3.0,no,no,yes,no,no,,,,yes,no,yes,no,53,43,36.0,,39.5,no,4,2.0,2,0,3,33.333333333333336,no,yes
BA Business Management International Business,yes,no,no,Black/Black British African,Male,,yes,yes,2.0,yes,no,no,no,no,93.0,8.0,5.0,yes,no,yes,yes,60,41,52.0,,46.5,yes,3,3.0,0,0,0,100.0,no,yes
Ba Business Management Finance,yes,yes,yes,Black/Black British African,Female,,yes,no,4.0,no,no,no,no,no,116.0,,,yes,no,yes,yes,83,60,76.0,46.0,60.666666666666664,yes,4,2.0,0,0,0,100.0,yes,no
BA Business Management Enterpreneurship and Innovation,yes,yes,no,White,Female,,yes,yes,2.0,yes,no,no,no,no,133.0,7.0,4.0,yes,no,yes,yes,80,77,58.0,57.0,64.0,yes,3,3.0,0,2,0,100.0,no,no
BA Business Management International Business,yes,no,no,Asian,Male,no,yes,no,,yes,no,yes,no,no,121.0,5.0,6.0,no,no,no,no,91,62,61.0,44.0,55.666666666666664,yes,4,2.0,0,0,0,100.0,no,no
BA Business Management,yes,no,no,Black/Black British African,Male,,yes,no,1.0,yes,no,no,no,no,96.0,4.0,5.0,yes,yes,yes,yes,50,43,37.0,,40.0,no,3,3.0,2,2,0,33.333333333333336,no,yes
